Hebrew,Niqqud,Transliteration,Translation,Niqqud_Length
תפוז,תַּפּוּז,tappuz,orange (fruit),8
רוצָה,רוֹצָה,rotza,"wants (f,s)",6
רוצֶה,רוֹצֶה,rotze,"wants (m,s)",6
ספר,סֵפֶר,sefer,book,5
קורא,קוֹרֵא,qore’,"read / call (m,s)",6
חמוץ,חָמוּץ,ḥamutz,sour,6
כיף,כֵּיף,keif,"fun, pleasure, good time, great, excellent",5
התפוז,הַתַּפּוּז,hattappuz,the orange (fruit),10
רע,רַע,ra‘,"bad / evil (m,s)",3
טוב,טוֹב,tov,"good (m,s)",4
טעים,טָעִים,ta‘im,"tasty (m,s)",6
יפֶה,יָפֶה,yafe,"beautiful / pretty (m,s)",5
עצוב,עָצוּב,‘atzuv,"sad / grieving (m,s)",6
תודה,תּוֹדָה,toda,"thank you, thanks",7
שלום,שָׁלוֹם,shalom,"hello, peace",7
מה קורה,מַה קוֹרֶה,mah qore,"what's happening, what's up",10
בתיאבון,בְּתֵאָבוֹן,bte’avon,"bon appétitl, enjoy your meal",11
בסדר,בְּסֵדֶר,bseder,"ok, fine, alright",8
עברית,עִבְרִית,‘ivrit,"Hebrew, Jewish",8
בהצלחה,בְּהַצְלָחָה,bhatzlaḥa,good luck,12
מזל טוב,מַזָּל טוֹב,mazzal tov,congratulations,11
סליחה,סְלִיחָה,sliḥa,excuse me / sorry,8
טל,טַל,tal,Tal (name),3
אין בעד מה,אֵין בְּעַד מָה,’ein be‘ad ma,you're welcome,16
אנגלית,אַנְגְּלִית,’anglit,English (language),11
תודה רבה,תּוֹדָה רַבָּה,toda rabba,thank you very much,15
בבקשה,בְּבַקָּשָׁה,bvaqqasha,please,12
להתראות,לְהִתְרָאוֹת,lehitra'ot,"goodbye, bye, see you later",12
מה נשמע,מַה נִּשְׁמַע,mah nishma‘,how are you,13
תהנה,תֵּהָנֶה,tehane,"(will) enjoy! (m,s)",8
תהנו,תֵּהֵנוּ,tehenu,"(will) enjoy! (m,p)",8
תהני,תֵּהָנִי,tehani,"(will) enjoy! (f,s)",8
מדברת,מְדַבֶּרֶת,medabberet,"speaking (f,s)",10
קוראים לי,קוֹרְאִים לִי,qor’im li,my name is,13
ברוך הבא,בָּרוּךְ הַבָּא,barukh habba’,welcome (m),15
יוסי,יוֹסִי,yosi,Yossi (name),6
ברוכה הבאה,בְּרוּכָה הַבָּאָה,brukha habba’a,welcome (f),18
מדבר,מְדַבֵּר,medaber,"speaking (m,s)",8
ערב,עֶרֶב,‘erev,evening,5
בוקר,בֹּקֶר,boqer,morning,6
אולי,אוּלַי,’ulay,"maybe, perhaps",6
לילה,לַיְלָה,layla,night,7
מה שלומךָ,מַה שְּׁלוֹמְךָ,mah shlomkha,how are you (m),15
מה שלומךְ,מַה שְּׁלוֹמֵךְ,mah shlomekh,how are you (f),15
רואות,רוֹאוֹת,ro’ot,"sees (f,p)",7
רואים,רוֹאִים,ro’im,"sees (m,p)",7
אתן,אַתֶּן,’atten,"you (f,p)",6
הם,הֵם,hem,"they (m,p)",3
הן,הֵן,hen,"they (f,p)",3
אתם,אַתֶּם,’attem,"you (m,p)",6
נשים,נָשִׁים,nashim,women,7
גברים,גְּבָרִים,gvarim,men,9
אנחנו,אֲנַחְנוּ,’anaḥnu,"we, we are",9
ילדים,יְלָדִים,yeladim,"children (m,p), boys, sons",8
לו,לוֹ,lo,to him,3
לךָ,לְךָ,lekha,"to you (m,s)",4
להן,לָהֶן,lahen,"to them (f,p)",5
לנו,לָנוּ,lanu,to us,5
לכם,לָכֶם,lakhem,"to you (m,p)",5
לכן,לָכֶן,lakhen,"to you (f,p)",5
להם,לָהֶם,lahem,"to them (m,p)",5
לה,לָהּ,lah,to her,4
לזה,לַזֶה,laze,to this (m),5
לי,לִי,li,to me,3
לךְ,לָךְ,lakh,"to you (f,s)",4
ליונה,לַיוֹנָה,layona,to (the) dove,8
לילד,לַיֶּלֶד,layyeled,to (the) boy,8
לגברים,לַגְּבָרִים,lagvarim,to (the) men,11
אין,אֵין,’ein,there is no(t),4
יש,יֵשׁ,yesh,there is,4
רעות,רָעוֹת,ra‘ot,"bad / evil (f,p)",6
רעים,רָעִים,ra‘im,"bad / evil (m,p)",6
רעה,רָעָה,ra‘a,"bad / evil (f,s)",5
טובים,טוֹבִים,tovim,"good (m,p)",7
טובות,טוֹבוֹת,tovot,"good (f,p)",7
טובה,טוֹבָה,tova,"good (f,s) / favour",6
טעימה,טְעִימָה,te'ima,"tasty (f,s)",8
יפות,יָפוֹת,yafot,"beautiful / pretty (f,p)",6
יפים,יָפִים,yafim,"beautiful / pretty (m,p)",6
טעימות,טְעִימוֹת,te'imot,"tasty (f,p)",9
יפָה,יָפָה,yafa,"beautiful / pretty (f,s)",5
טעימים,טְעִימִים,te‘imim,"tasty (m,p)",9
שמחה,שְׂמֵחָה,smeḥa,"happy (f,s)",8
עצובים,עֲצוּבִים,‘atzuvim,"sad / grieving (m,p)",9
שמחות,שְׂמֵחוֹת,smeḥot,"happy (f,p)",9
שמחים,שְׂמֵחִים,smeḥim,"happy (m,p)",9
עצובות,עֲצוּבוֹת,‘atzuvot,"sad / grieving (f,p)",9
עצובה,עֲצוּבָה,‘atzuva,"sad / grieving (f,s)",8
ארוחת צהריים,אֲרוּחַת צָהֳרַיִם,’aruḥat tzohorayim,lunch,18
ארוחת ערב,אֲרוּחַת עֶרֶב,’aruḥat ‘erev,dinner,14
ארוחת בוקר,אֲרוּחַת בֹּקֶר,’aruḥat boqer,breakfast,15
כריך,כָּרִיךְ,kariykh,sandwich,8
האוכל,הָאוֹכֵל,ha’okhel,the food,8
חמאה,חֶמְאָה,ḥem’a,butter,7
פיצה,פִּיצָּה,pitza,pizza,8
פטרייה,פִּטְרִיָּה,pitriyya,mushroom,11
זיתים,זֵיתִים,zeitim,olives,7
שוקולד,שׁוֹקוֹלָד,shoqolad,chocolate,10
זית,זַיִת,zayit,olive,5
אננס,אָנָנָס,’ananas,pineapple,7
בקר,בָּקָר,baqar,beef,6
בקבוק,בַּקְבּוּק,baqbuq,bottle,10
רעב,רָעֵב,ra‘ev,"hungry (m,s)",5
סלט,סָלָט,salat,salad,5
רעבה,רְעֵבָה,re'eva,"hungry (f,s)",7
מלח,מֶלַח,melaḥ,salt,5
לימון,לִימוֹן,limon,lemon,7
שמן,שֶׁמֶן,shemen,oil,6
רוצות,רוֹצוֹת,rotzot,"wants (f,p)",7
רוצים,רוֹצִים,rotzim,"wants (m,p)",7
אוכל,אֹכֶל,’okhel,food,5
בננה,בָּנָנָה,banana,banana,8
עגבניות,עַגְבָנִיּוֹת,‘agvaniyyot,tomatoes,13
עגבנייה,עַגְבָנִיָה,‘agvaniyya,tomato,11
תות,תּוּת,tut,strawberry,5
מרק,מָרָק,maraq,soup,5
גבינה,גְּבִינָה,gvina,cheese,9
בשר,בָּשָׂר,basar,"meat, flesh",7
בירה,בִּירָה,bira,beer,7
עגבנייה,עַגְבָנִיָּה,‘agvaniyya,tomato,12
פסטה,פַּסְטָה,pasta,pasta,8
שותות,שׁוֹתוֹת,shotot,"drinks (f,p)",8
שותים,שׁוֹתִים,shotim,"drinks (m,p)",8
סוכר,סֻכָּר,sukkar,sugar,6
פרי,פְּרִי,pri,fruit,6
פירות,פֵּרוֹת,perot,fruits,7
ביצה,בֵּיצָה,beitza,egg,7
קפה,קָפֶה,qafe,coffee,5
דג,דָּג,dag,fish,4
אוכלים,אוֹכְלִים,’okhlim,"eats (m,p)",9
את,אַתְּ,’at,"you (f,s)",5
צלחת,צַלַּחַת,tzallaḥat,"plate, dish",8
אוכלות,אוֹכְלוֹת,’okhlot,"eats (f,p)",9
לאכול,לֶאֱכֹל,le’ekhol,to eat,7
דבורה,דְּבוֹרָה,dvora,bee,9
דובה,דֻּבָּה,dubba,bear (f),7
צבה,צַבָּהּ,tzabbah,turtle / tortoise (f),7
חתול,חָתוּל,ḥatul,cat (m),6
פרה,פָּרָה,para,cow,6
נחש,נָחָשׁ,naḥash,snake,6
תרנגולת,תַּרְנְגֹלֶת,tarnegolet,hen (chicken),12
חיית מחמד,חַיַּת מַחְמָד,ḥayyat maḥmad,pet,14
חזיר,חֲזִיר,ḥazir,"pig, pork",6
זנב,זָנָב,zanav,tail (animal),5
תרנגול,תַּרְנְגוֹל,tarnegol,rooster (chicken),11
ינשוף,יַנְשׁוּף,yanshuf,owl,9
ארנב,אַרְנָב,’arnav,rabbit / hare (m),7
נובח,נוֹבֵחַ,noveaḥ,"howling (m,s)",7
קופה,קוּפָּה,qupa,monkey (f),7
חרק,חֶרֶק,ḥereq,"insect, bug",5
זבוב,זְבוּב,zvuv,fly (insect),6
קוף,קוֹף,qof,monkey (m),4
חיות,חַיּוֹת,ḥayyot,animals,7
ארנבת,אַרְנֶבֶת,’arnevet,rabbit / hare (f),9
גמל,גָּמָל,gamal,camel,6
עכביש,עֲכָּבִישׁ,‘akkavish,spider,10
אריה,אַרְיֵה,’arye,lion,7
סרטן,סַרְטָן,sartan,crab,7
נשר,נֶשֶׁר,nesher,"eagle, vulture",6
דוב,דֹּב,dov,bear (m),4
עכבר,עַכְבָּר,‘akhbar,mouse,8
חיה,חַיָּה,ḥayya,animal,6
צב,צָב,tzav,turtle / tortoise (m),3
סוס,סוּס,sus,horse (m),4
סוסה,סוּסָה,susa,horse (f),6
סוסים,סוּסִים,susim,horses (m),7
סוסות,סוּסוֹת,susot,horses (f),7
חתולה,חֲתוּלָה,ḥatula,cat (f),8
פיל,פִּיל,pil,elephant (m),5
ציפור,צִפּוֹר,tzippor,bird,7
חמור,חֲמוֹר,ḥamor,donkey (m),6
ברווז,בַּרְוָז,barvaz,duck (m),8
בירות,בִּירוֹת,birot,beers,8
עוגות,עוּגוֹת,‘ugot,cakes,7
תפוחים,תַּפּוּחִים,tappuḥim,apples,11
כלבות,כְּלָבוֹת,klavot,dogs (f),9
חתולות,חֲתוּלוֹת,ḥatulot,cats (f),9
אריות,אֲרָיוֹת,’arayot,lions,8
פרות,פָּרוֹת,parot,cows,7
ברווזות,בַּרְוָזוֹת,barvazot,ducks (f),11
גבינות,גְּבִינוֹת,gvinot,cheeses,10
חיות מחמד,חַיּוֹת מַחְמָד,ḥayyot maḥmad,pets,15
יינות,יֵינוֹת,yeinot,wines,7
צלחות,צַלָּחוֹת,tzallaḥot,"plates, dishes",9
דרכים,דְּרָכִים,drakhim,"roads, ways, paths",9
אוהבים,אוֹהֲבִים,’ohavim,"loves (m,p) / lovers (m,p)",9
אוהבות,אוֹהֲבוֹת,’ohavot,"loves (f,p) / lovers (f,p)",9
ציפורים,צִפּוֹרִים,tzipporim,birds,10
ברווזים,בַּרְוָזִים,barvazim,ducks (m),11
כריכים,כְּרִיכִים,krikhim,sandwiches,10
צבים,צַבִּים,tzabbim,turtles / tortoises (m),7
עיתונים,עִתּוֹנִים,‘ittonim,newspapers,10
חתולים,חֲתוּלִים,ḥatulim,cats (m),9
כלבים,כְּלָבִים,klavim,dogs (m),9
תפוזים,תַּפּוּזִים,tappuzim,oranges,11
ספרים,סְפָרִים,sfarim,books,8
פיליים,פִּילִים,pilim,elephants,8
ילדות,יְלָדוֹת,yeladot,girls,8
שלי,שֶׁלִּי,shelli,"my, mine",7
שלנו,שֶׁלָּנוּ,shellanu,ours,9
שלכם,שֶׁלָכֶם,shelakhem,"yours (m,p)",8
שלכן,שֶׁלָכֵן,shelakhen,"yours (f,p)",8
שלךְ,שֶׁלָךְ,shelakh,"yours (f,s)",7
שלו,שֶׁלּוֹ,shello,his,7
שלךָ,שֶׁלְךָ,shelkha,"yours (m,s)",7
שלהן,שֶׁלָהֶן,shelahen,theirs (f),8
של,שֶׁל,shel,"of, belonging",4
שלה,שֶׁלָּהּ,shellah,hers,8
שלהם,שֶׁלָּהֶם,shellahem,theirs (m),9
שייכת,שַׁיֶּכֶת,shayyekhet,"belongs to (f,s)",9
שייכים,שַׁיָּכִים,shayyakhim,"belongs to (m,p)",10
שרה,שָׂרָה‎,sara‎,Sarah (name),7
אברהם,אַבְרָהָם,’avraham,Abraham (name),9
שייך,שַׁיָּךְ,shayakh,"belongs to (m,s)",8
חם,חַם,ḥam,"hot, warm (m,s)",3
חמה,חַמָּה,ḥamma,"hot, warm (f,s)",6
חמים,חַמִּים,ḥammim,"hot, warm (m,p)",7
חמות,חַמּוֹת,ḥammot,"hot, warm (f,p)",7
קר,קַר,qar,"cold (m,s)",3
קרה,קָרָה,qara,"cold (f,s)",5
קרים,קָרִים,qarim,"cold (m,p)",6
קרות,קָרוֹת,qarot,"cold (f,p)",6
ארוך,אָרֹךְ,’arokh,"long (m,s)",6
ארוכה,אֲרֻכָּה,’arukka,"long (f,s)",8
ארוכים,אֲרֻכִּים,’arukkim,"long (m,p)",9
ארוכות,אֲרֻכּוֹת,’arukkot,"long (f,p)",9
קצר,קָצָר,qatzar,"short (m,s)",5
קצרה,קְצָרָה,qtzara,"short (f,s)",7
קצרים,קְצָרִים,qtzarim,"short (m,p)",8
קצרות,קְצָרוֹת,qtzarot,"short (f,p)",8
גדול,גָּדוֹל,gadol,"big, large (m,s)",7
גדולה,גְּדוֹלָה,gdola,"big, large (f,s)",9
גדולים,גְּדוֹלִים,gᵉdolim,"big, large (m,p)",10
גדולות,גְּדוֹלוֹת,gᵉdolot,"big, large (f,p)",10
קטן,קָטָן,qatan,"small (m,s)",5
קטנה,קְטַנָּה,qtanna,"small (f,s)",8
קטנים,קְטַנִּים,qtannim,"small (m,p)",9
קטנות,קְטַנּוֹת,qtannot,"small (f,p)",9
רטוב,רָטוּב,ratuv,"wet (m,s)",6
רטובה,רְטֻבָּה,retubba,"wet (f,s)",8
רטובים,רְטֻבִּים,retubbim,"wet (m,p)",9
רטובות,רְטוּבוֹת,retuvot,"wet (f,p)",9
יבש,יָבֵשׁ,yavesh,"dry (m,s)",6
יבשה,יְבֵשָׁה,yevesha,"dry (f,s)",8
יבשים,יְבֵשִׁים,yeveshim,"dry (m,p)",9
יבשות,יְבֵשׁוֹת,yeveshot,"dry (f,p)",9
מלא,מָלֵא,male’,"full (m,s)",5
מלאה,מְלֵאָה,mele’a,"full (f,s)",7
מלאים,מְלֵאִים,mele’im,"full (m,p)",8
מלאות,מְלֵאוֹת,mele’ot,"full (f,p)",8
ריק,רֵיק,reiq,"empty (m,s)",4
ריקה,רֵיקָה,reiqa,"empty (f,s)",6
ריקים,רֵיקִים,reiqim,"empty (m,p)",7
ריקות,רֵיקוֹת,reiqot,"empty (f,p)",7
מהיר,מָהִיר,mahir,"fast (m,s)",6
מהירה,מְהִירָה,mehira,"fast (f,s)",8
מהירים,מְהִירִים,mehirim,"fast (m,p)",9
מהירוֹת,מְהִירוֹת,mehirot,"fast (f,p)",9
איטי,אִטִּי,’itti,"slow (m,s)",6
איטית,אִטִּית,’ittit,"slow (f,s)",7
איטיים,אִיטִיִים,’itiyim,"slow (m,p)",9
איטיות,אִיטִיּוֹת,’itiyyot,"slow (f,p)",10
גבוה,גָּבֹהַּ,gavoah,"tall, high (m,s)",8
גבוהה,גְּבֹהָה,gvoha,"tall, high (f,s)",8
גבוהים,גְּבֹהִים,gvohim,"tall, high (m,p)",9
גבוהות,גְּבֹהוֹת,gvohot,"tall, high (f,p)",9
נמוך,נָמוּךְ,namukh,"low, short (m,s)",7
נמוכה,נָמוּכָה,nemukha,"low, short (f,s)",8
נמוכים,נְמוּכִים,nemukhim,"low, short (m,p)",9
נמוכות,נְמוּכוֹת,nemukhot,"low, short (f,p)",9
רחוק,רָחוֹק,raḥoq,"far, distant (m,s)",6
רחוקה,רְחוֹקָה,reḥoqa,"far, distant (f,s)",8
רחוקים,רְחוֹקִים,reḥoqim,"far, distant (m,p)",9
רחוקות,רְחוֹקוֹת,reḥoqot,"far, distant (f,p)",9
קרוב,קָרוֹב,qarov,"close, near (m,s)",6
קרובה,קְרוֹבָה,qrova,"close, near (f,s)",8
קרובים,קְרוֹבִים,qrovim,"close, near (m,p)",9
קרובות,קְרוֹבוֹת,qrovot,"close, near (f,p)",9
חדש,חָדָשׁ,ḥadash,"new (m,s)",6
חדשה,חָדָשָׁה,ḥadasha,"new (f,s)",8
חדשים,חֲדָשִׁים,ḥadashim,"new (m,p)",9
חדשות,חֲדָשׁוֹת,ḥadashot,"new (f,p)",9
ישן,יָשֵׁן,yashen,"sleeps, (is) sleeping (m,s)",6
ישנה,יְשֵׁנָה,yeshena,"sleeps, (is) sleeping (f,s)",8
ישנים,יְשֵׁנִים,yeshenim,"sleeps, (is) sleeping (m,p)",9
ישנות,יְשֵׁנוֹת,yeshenot,"sleeps, (is) sleeping (f,p)",9
אתכן,אֶתְכֶן,’etkhen,"you (f,p)",7
אותנו,אוֹתָנוּ,’otanu,us,8
אותן,אוֹתָן,’otan,"them (f,p)",6
אותךָ,אוֹתְךָ,’otkha,"you (m,s)",7
אותךְ,אוֹתָךְ,otach,"you (f,s)",7
אתכם,אֶתְכֶם,’etkhem,"you (m,p)",7
אותו,אוֹתוֹ,’oto,"him (m,s)",6
אותי,אוֹתִי,’oti,me,6
אותה,אוֹתָהּ,’otah,"her (f,s)",7
אותם,אוֹתָם,’otam,"them (m,p)",6
רואות,רוֹאוֹת,ro’ot,"sees (f,p)",7
רואים,רוֹאִים,ro’im,"sees (m,p)",7
צריך,צָרִיךְ,tzarich,"need, should, must (m,s)",7
צריכה,צְרִיכָה,tzricha,"need, should, must (f,s)",8
צריכים,צְרִיכִים,tzrichim,"need, should, must (m,p)",9
צריכות,צְרִיכוֹת,tzrichot,"need, should, must (f,p)",9
חריפים,חֲרִיפִים,ḥarifim,"hot, spicy (m,p)",9
כף,כַּף,kaf,spoon,4
גזרים,גְּזָרִים,gzarim,"carrots, pieces",9
ירקות,יְרָקוֹת,yerakot,vegetables,8
קערה,קְעָרָה,q‘ara,bowl,7
צמאה,צְמֵאָה,tzme’a,"thirsty (f,s)",7
סכין,סַכִּין,sakkin,"knife, blade",7
ארוחה,אֲרוּחָה,’aruḥa,meal,8
כוסות,כּוֹסוֹת,kosot,"cups, glasses",8
מנגו,מַנְגוֹ,mango,mango,7
שום,שׁוּם,shum,garlic,5
ריח,רֵיחַ,reiaḥ,smell,5
טעם,טַעַם,ta‘am,taste,5
קמח,קֶמַח,qemaḥ,flour,5
סיר,סִיר,sir,cooking pot,4
תפוח אדמה,תַּפּוּחַ אֲדָמָה,tappuaḥ ’adama,potato,17
גלידה,גְּלִידָה,glida,ice cream,9
אבוקדו,אָבוֹקָדוֹ,’avoqado,avocado,10
ענב,עֵנָב,‘anav,grape,5
דובדבן,דֻּבְדְּבָן,duvdᵉvan,cherry,11
דובדבנים,דֻּבְדְּבָנִים,duvdevanim,cherries,14
מסטיק,מַסְטִיק,mastiq,gum,8
מסטיקים,מַסְטִיקִים,mastiqim,gums,11
משקה,מַשְׁקֶה,mashqe,"beverage, drink",8
משקאות,מַשְׁקָאוֹת,mashqa’ot,"beverages, drinks",11
עוגייה,עוּגִיָּה,‘ugiyya,cookie,9
עוגיות,עוּגִיּוֹת,‘ugiyyot,cookies,10
ממתקים,מַמְתַּקִּים,mamtaqqim,"sweets, candies",12
אבטיחים,אֲבַטִּיחִים,’avattiḥim,watermelons,12
בוטן,בֹּטֶן,boten,peanut,6
בוטנים,בָּטְנִים,batnim,peanuts,9
ריבה,רִבָּה,ribba,jam,6
בצל,בָּצָל,batzal,onion,6
בצלים,בְּצָלִים,btzalim,onions,9
מלפפון,מְלָפְפוֹן,melafefon,cucumber,10
מלוחה,מְלוּחָה,mᵉluḥa,"salty (f,s)",8
גזר,גֶּזֶר,gezer,"carrot, piece",6
אופֶה,אוֹפֶה,’ofe,"bakes (f,s)",6
אופָה,אוֹפָה,’ofa,"bakes (f,s)",6
אופים,אוֹפִים,’ofim,"bake (m,p)",7
אופות,אוֹפוֹת,’ofot,"bake (f,p)",7
מר,מַר,mar,"bitter (m,s)",3
חריף,חָרִיף,ḥarif,"hot, spicy (m,s)",6
מטבח,מִטְבָּח,mitbaḥ,"kitchen, cuisine",8
מלוח,מָלוּחַ,maluaḥ,"salty (m,s)",7
מלפפונים,מְלָפְפוֹנִים,melafefonim,cucumbers,13
מתכונים,מַתְכּוֹנִים,matkonim,recipes,12
פלפל,פִּלְפֵּל,pilpel,"pepper, capsicum",9
מתכון,מַתְכּוֹן,matkon,recipe,9
רוטב,רֹטֶב,rotev,"sauce, gravy",5
תפריט,תַּפְרִיט,tafrit,menu,9
דבש,דְּבַשׁ,dvash,honey,7
מסעדה,מִסְעָדָה,mis‘ada,restaurant,9
ירק,יָרָק,yaraq,vegetable,5
פלפלים,פִּלְפְּלִים,pilpᵉlim,"peppers, capsicums",12
כפיות,כַּפִּיּוֹת,kappiyyot,"small spoons, teaspoons",11
מפית,מַפִּית,mappit,napkin,7
כפית,כַּפִּית,kappit,"small spoon, teaspoon",8
כפות,כַּפּוֹת,kappot,spoons,8
צמא,צָמֵא,tzame’,"thirsty (m,s)",5
צמאים,צְמֵאִים,tzme’im,"thirsty (m,p)",8
מבשלים,מְבַשְּׁלִים,mᵉvashlim,"cooks, boils (m,p)",12
מפיות,מַפִּיּוֹת,mappiyyot,napkins,10
מבשל,מְבַשֵּׁל,mevashel,"cooks, boils (m,s)",9
צמחוניים,צְמַחוֹנִיִּים,tzmaḥoniyyim,"vegetarians (m,s)",14
צמחוני,צִמְחוֹנִי,tzimḥoni,"vegetarian (m,s)",10
כוס,כּוֹס,kos,"cup, glass",5
צמחונית,צִמְחוֹנִית,tzimḥonit,"vegetarian (f,s)",11
מזלג,מַזְלֵג,mazleg,fork,7
תה,תֵּה,te,tea,4
תחפושת,תַּחְפֹּשֶׂת,taḥposet,"fancy dress, costume",12
חולצה,חֻלְצָה,ḥultza,shirt,7
עונד,עוֹנֵד,‘oned,"puts on, wears (ring) (m,s)",6
עונדת,עוֹנֶדֶת,‘onedet,"puts on, wears (ring) (f,s)",8
עונדים,עוֹנְדִים,‘onᵉdim,"put on, wear (ring) (m,p)",9
עונדות,עוֹנְדוֹת,‘onᵉdot,"put on, wear (ring) (f,p)",9
לובש,לוֹבֵשׁ,lovesh,"puts on, wears (m,s)",7
צמיד,צָמִיד,tzamid,bracelet,6
ז'קט,זָ'קֵט,zaqet',jacket,6
צמידים,צְמִידִים,tzmidim,bracelets,9
סוודר,סְוֶדֶר,sveder,sweater,7
צעיף,צָעִיף,tza‘if,scarf,6
כיסים,כִּיסִים,kisim,pockets,8
סוודרים,סְוֶדֶרִים,svederim,sweaters,10
גרביים,גַּרְבַּיִם,garbayim,"socks, stockings",11
תכשיט,תַּכְשִׁיט,takhshit,piece of jewelry,10
תכשיטים,תַּכְשִׁיטִים,takhshitim,pieces of jewelry,13
גורבת,גּוֹרֶבֶת,gorevet,"puts on, wears (socks, stockings) (f,s)",9
בגד ים,בֶּגֶד יָם,beged yam,swimsuit,10
עניבה,עֲנִיבָה,‘aniva,"tie, necktie",8
ג'ינס,גִ׳ינְס,gi׳yns,jeans (s),7
עניבות,עֲנִיבוֹת,‘anivot,"ties, neckties",9
בגד הים,בֶּגֶד הַיָּם,beged hayyam,swimsuit,13
גורב,גּוֹרֵב,gorev,"puts on, wears (socks, stockings) (m,s)",7
גורבים,גּוֹרְבִים,gorvim,"puts on, wears (socks, stockings) (m,p)",10
תחפושות,תַּחְפּוֹשׂוֹת,taḥposot,"fancy dress, costumes",14
ג'ינסים,גִ׳ינְסִים‎,gi׳nᵉsim‎,jeans (p),11
בגדי ים,בְּגָדֵי יָם,bgadei yam,swimwear,12
כפפות,כְּפָפוֹת,kfafot,gloves,9
שרשראות,שַׁרְשְׁרוֹת,sharshᵉrot,chains (jewelry),12
עונדים,עוֹנְדִים,‘ondim,"puts on, wears (ring) (m,p)",9
מרכיבה,מַרְכִּיבָה,markiva,"puts on, wears (glasses) (f,s)",11
מרכיבים,מַרְכִּיבִים,markivim,"puts on, wears (glasses) (m,p)",12
מרכיב,מַרְכִּיב,markiv,"puts on, wears (glasses) (m,s)",9
שרשרת,שַׁרְשֶׁרֶת,sharsheret,chain (jewelry),11
משקפיים,מִשְׁקָפַיִם,mishqafayim,"glasses, spectacles",12
שם,שָׂם,sam,"puts (m,s)",4
